"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"11","England",1,"Male",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","Daily Telegraph","Never",NA,"No","No","None","None","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","Public transport","too high and discourage work","Keep taxes and spending on these services at same level","about right,",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Increased a lot","2","5 - Neither",NA,"Neither agree nor disagree","Yes, several","WHITE: of any origin","Christian - no denomination","O level or equiv",NA,NA,NA,NA,NA,NA,NA,"No","Wholly retired from work",NA,NA,NA,NA,NA,NA,NA,NA
"12","England",2,"Male",NA,"Married","No","Married/living as married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Roads","(Neither)","Increase taxes and spend more on health, education etc","about right,",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","1",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion",NA,"£1,301 - 1,600 p.m.","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree strongly","Neither agree nor disagree","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"13","Scotland",2,"Male",NA,"Widowed/surviving partner from a civil partnership","Yes","Widowed","Yes","(Scottish) Daily Mail","Never",NA,"Yes",NA,"Scottish National Party","Scottish National Party","some,","Most people can be trusted","to leave things as they are,","Only some of the time","Only some of the time","... there is a great difference between them,","Health","too low and cause hardship","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","7","8","Coming to work in Britain from countries outside the European Union","Agree strongly","Yes, one","WHITE: of any origin","Roman Catholic","A level or equiv",NA,"Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","No","Wholly retired from work","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"14","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","None","None","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Education","too low and cause hardship","Increase taxes and spend more on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Don't know","Neither agree nor disagree","No, none at all","WHITE: of any origin","Christian - no denomination","No qualification",NA,"Agree","Neither agree nor disagree","Disagree","Agree","Agree","Agree strongly","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"15","England",3,"Female",NA,"Divorced/dissolved civil partnership","Yes","Separated/divorced","Yes","The Sun/ Scottish Sun","Never",NA,"No","No",NA,NA,"not very much,","Can t be too careful in dealing with people","to leave the European Union,","Only some of the time","Almost never","or, not much difference?","Education","too low and cause hardship","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot",NA,"5 - Neither",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","A level or equiv",NA,NA,NA,NA,NA,NA,NA,"No","Unemployed and registered at a JobCentre or JobCentre Plus","Mentioned",NA,NA,NA,NA,NA,NA,NA
"16","England",2,"Male",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Mail","A couple of times a month","Other - UK site (PLEASE WRITE IN)","Yes",NA,"Labour","Labour","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Increase taxes and spend more on health, education etc","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","7",NA,"Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Agree","Agree","Disagree","Agree","Disagree strongly","Agree","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"17","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","The Guardian","Every day","The Guardian/The Observer","No","No","Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Almost never","Almost never","or, not much difference?","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","8","Coming to work in Britain from countries outside the European Union","Agree","Yes, a few","WHITE: of any origin","No religion","Degree",NA,"Disagree strongly","Agree","Agree strongly","Disagree","Neither agree nor disagree","Neither agree nor disagree","No","Unemployed and registered at a JobCentre or JobCentre Plus",NA,"Mentioned",NA,NA,"Mentioned",NA,NA,NA
"18","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","Yes","(Scottish) Daily Mail","At least once a week","Daily Telegraph/The Sunday Telegraph","Yes",NA,"Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","2",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","O level or equiv",NA,"Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"19","England",4,"Male",NA,"Married","Yes","Married/living as married","Yes","Daily Telegraph","Several times a day","Daily Telegraph/The Sunday Telegraph","No","Yes","Conservative","Conservative","... a great deal,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Most of the time","some difference,","Education","too low and cause hardship","Reduce taxes and spend less on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","8","5 - Neither",NA,"Agree","Yes, several","WHITE: of any origin","Christian - no denomination","Degree","£3,601 or more p.m.","Agree","Disagree","Agree strongly","Agree","Disagree strongly","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"20","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"A couple of times a month","Daily Telegraph/The Sunday Telegraph","No","Yes","Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Only some of the time","... there is a great difference between them,","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","or, is really poor?","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","4","4","Coming to work in Britain from countries inside the European Union","Agree","Yes, a few","WHITE: of any origin","No religion","A level or equiv",NA,"Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Agree","No","Permanently sick or disabled","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"21","England",3,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Several times a day","The Guardian/The Observer","No","Yes","Labour","Labour","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","6",NA,"Agree","Yes, a few","WHITE: of any origin","No religion","Degree",NA,"Agree","Disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","No","In full-time education (not paid for by employer, including on vacation)","Mentioned",NA,NA,NA,NA,"Mentioned",NA,NA
"22","England",4,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Several times a day","BBC News","Yes",NA,"Conservative","Conservative","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Health","too low and cause hardship","Keep taxes and spending on these services at same level","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","4","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","Yes, several","WHITE: of any origin","Church of England/Anglican","Higher educ below degree","£3,601 or more p.m.","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree strongly","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"23","England",5,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","No",NA,"Never",NA,"No","No","None","None","not very much,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Housing","too low and cause hardship","Reduce taxes and spend less on health, education etc","too large","or, is really poor?","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","0 - Cultural life undermined",NA,"Neither agree nor disagree","Yes, several","WHITE: of any origin","No religion","CSE or equiv",NA,NA,NA,NA,NA,NA,NA,"No","On government training/employment programme","Mentioned",NA,NA,NA,NA,NA,NA,NA
"24","England",3,"Male",NA,"Living with a partner","No","Married/living as married","No",NA,"Never",NA,"No","No",NA,NA,"not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","or, not much difference?","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","2","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","WHITE: of any origin","No religion","O level or equiv","£1,101 - 1,300 p.m.","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"25","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","(Scottish) Daily Mail","Never",NA,"Yes",NA,"Labour","Labour","quite a lot,","Most people can be trusted","to leave the European Union,","Only some of the time","Only some of the time","... there is a great difference between them,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","... has more than enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","1","1",NA,"Disagree","Yes, a few","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Agree","Agree strongly","Agree strongly","Agree","Agree strongly","Neither agree nor disagree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"26","Scotland",4,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","Yes","The Sun/ Scottish Sun","Every day","BBC News","No","No",NA,NA,"or, none at all?","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Health","(Neither)","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","1",NA,"Disagree","No, none at all","WHITE: of any origin","No religion","No qualification",NA,"Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","No","Unemployed and registered at a JobCentre or JobCentre Plus","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"27","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","(None)","too large","... has more than enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","0 - Extremely bad for economy","2",NA,"Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Agree strongly","Agree strongly","Agree strongly","Agree","Neither agree nor disagree","Agree strongly","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"28","England",2,"Female",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Mail","Every day","BBC News","Yes",NA,"Conservative","Conservative","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","2",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","Roman Catholic","O level or equiv","£431 - 780 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"29","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Less often than once a month","BBC News","No","No","UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","or, none at all?","Can t be too careful in dealing with people","to leave the European Union,","Only some of the time","Almost never","or, not much difference?","Health","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","0 - Cultural life undermined","SPONTANEOUS ONLY: To access benefits or housing","Disagree strongly","No, none at all","WHITE: of any origin","Methodist","O level or equiv","Less than £430 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"30","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No",NA,NA,"quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","or, not much difference?","Help for industry","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","8",NA,"Agree","Yes, several","WHITE: of any origin","Christian - no denomination","Degree","£2,201 - 2,700 p.m.","Agree","Agree","Disagree","Agree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,NA,"Mentioned",NA,NA,NA
"31","Scotland",1,"Male",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","MORE THAN ONE PAPER READ WITH EQUAL FREQUENCY","Never",NA,"Yes",NA,"Labour","Labour","... a great deal,","Most people can be trusted","to leave things as they are,","Most of the time","Only some of the time","... there is a great difference between them,","Education","too high and discourage work","Increase taxes and spend more on health, education etc","about right,","... has more than enough to live on,","...I don t believe that climate change is taking place","Reduced a lot","5 - Neither","3",NA,"Agree","No, none at all","WHITE: of any origin","Roman Catholic","No qualification",NA,"Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"32","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","The Guardian","Several times a day","BBC News","No","Yes","Labour","Labour","... a great deal,","Most people can be trusted","to leave things as they are,","Most of the time","Most of the time","some difference,","Health","(Neither)","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","9","9","Coming to work in Britain from countries inside the European Union","Agree","Yes, several","WHITE: of any origin","No religion","Degree","£3,601 or more p.m.","Disagree","Disagree strongly","Agree","Agree","Disagree strongly","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"33","England",2,"Male",NA,"Married","No","Married/living as married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","None","None","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Remain the same as it is","7","7",NA,"Disagree","Yes, several","WHITE: of any origin","No religion","No qualification",NA,"Agree","Agree strongly","Agree strongly","Agree strongly","Disagree","Disagree strongly","Yes, trade union","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"34","England",5,"Female",NA,"Married","Yes","Married/living as married","No",NA,"A couple of times a month","BBC News","No","Yes","Conservative","Conservative","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","7",NA,"Agree","Yes, a few","WHITE: of any origin","Church of England/Anglican","Degree","£1,301 - 1,600 p.m.","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree strongly","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"35","England",2,"Male",NA,"Married","No","Married/living as married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Several times a day","BBC News","Yes",NA,"Labour","Labour","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","some difference,","Police and prisons","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","6",NA,"Agree","Yes, several","WHITE: of any origin","No religion","O level or equiv","£1,801 - 2,200 p.m.","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"36","Scotland",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Several times a day","BBC News","No","No","Labour","Labour","... a great deal,","Can t be too careful in dealing with people","to leave the European Union,","Most of the time","Almost never","or, not much difference?","Help for industry","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","or, is really poor?","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","6","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, several","WHITE: of any origin","Christian - no denomination","Higher educ below degree","£1,801 - 2,200 p.m.","Disagree","Agree","Agree strongly","Disagree","Agree strongly","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"37","England",2,"Female",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Mail","Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","5 - Neither","5 - Neither",NA,"Agree","Yes, one","WHITE: of any origin","Christian - no denomination",NA,NA,"Agree","Agree","Agree","Agree",NA,"Agree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"38","Scotland",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"No","No","Scottish National Party","Scottish National Party","or, none at all?","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","some difference,","Help for industry","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","2",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Agree strongly","Agree strongly","Agree strongly","Agree","Agree","Agree strongly","No","Unemployed and registered at a JobCentre or JobCentre Plus",NA,NA,NA,"Mentioned",NA,NA,NA,NA
